"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Les cafés littéraires de Montélimar";"26200";44.55408457;4.74869388;"http://lescafeslitteraires.fr";"Livre";"MONTELIMAR"
"Présence(s) Photographie";"26200";44.55408457;4.74869388;"http://www.presences-photographie.fr/";"Arts visuels";"MONTELIMAR"
"Salon du livre jeunesse de Montigny-lès-Metz";"57950";49.09531991;6.154526;"http://salondulivrejeunesse.montigny-les-metz.fr/";"Livre";"MONTIGNY-LES-METZ"
"Festival de Cinéma de Montmirail";"72320";48.88028691;3.56048556;"non renseigne";"Cinéma";"MONTMIRAIL"
"Montrouge-Paris Guitar Festival";"92120";48.81530322;2.31648921;"parisguitarfestival.com";"Musique";"MONTROUGE"
"Festival des vents";"84310";43.93377888;4.90875878;"www.festivaldesvents.com";"Musique";"MORIERES-LES-AVIGNON"
"Festival Beauregard";"14200";49.20735606;-0.33102263;"https://www.festivalbeauregard.com/";"Musique";"HEROUVILLE-SAINT-CLAIR"
"Projets pour la vallée festival de contes de la vallée de Munsterrallée de Munster ( 68)";"68140";48.04485142;7.14149744;"www.valleedescontes.org";"Spectacle vivant";"MUNSTER"
"Festival de musique de chambre de Mus";"30121";43.73715472;4.20278683;"musicadomitia.free.fr";"Musique";"MUS"
"6 Week-Ends d Art Contemporain";"54000";48.69019955;6.17588254;"non renseigne";"Arts visuels";"NANCY"
"Biennale International de l Image";"54000";48.69019955;6.17588254;"non renseigne";"Arts visuels";"NANCY"
"Ma vigne en musique";"11100";43.16523999;3.02023869;"https://www.narbonne-classic-festival.fr/";"Musique";"NARBONNE"
"Les zaccros d ma rue";"58000";46.98811949;3.15689131;"www.zaccros.org";"Spectacle vivant";"NEVERS"
"Festival de l imaginaire du pays d Aix";"13410";43.66152177;5.25191447;"mediatheque.lambesc.fr";"Livre";"LAMBESC"
"Afrique Unie";"75011";48.8594155;2.37874106;"https://www.salonafriqueunie.com/";"Musique";"PARIS"
"BitterSweet (paradise)";"75009";48.8567;2.3508;"www.baladessonores.com";"Musique";"PARIS"
"Grand Poetry Slam";"75020";48.8567;2.3508;"non renseigne";"Musique";"PARIS"
"Scènes ouvertes à l insolite";"75005";48.84450866;2.34985939;"non renseigne";"Spectacle vivant";"PARIS"
"Séquence Danse Paris";"75019";48.88686862;2.38469433;"https://www.104.fr/fiche-evenement/sequence-danse-paris-2021.html";"Spectacle vivant";"PARIS"
"Estivales de Musique en Médoc";"33250";45.1990068;-0.75820015;"http://www.estivales-musique-medoc.com/";"Musique";"PAUILLAC"
"Vibrations urbaines";"33600";44.79159905;-0.67630317;"vibrations-urbaines.net/";"Spectacle vivant";"PESSAC"
"Festival international Salsa Ka";"97170";16.17160638;-61.65724435;"http://salsadclik.fr/";"Spectacle vivant";"PETIT-BOURG"
"Pézenas enchantée";"34120";43.46299017;3.41651652;"https://www.pezenasenchantee.fr/";"Musique";"PEZENAS"
"Roue Waroch";"56890";47.69734903;-2.83080852;"www.roue-waroch.fr";"Musique";"PLESCOP"
"Gouel An Eost";"29250";48.65592065;-4.04176176;"non renseigne";"Musique";"PLOUGOULM"
"Exposition de clocher en clocher";"22580";48.68223165;-2.93147403;"Nous n avons pas de site";"Arts visuels";"PLOUHA"
"Mondial Folk";"29710";47.98321159;-4.40960157;"non renseigne";"Musique";"PLOZEVET"
"Les Editeuriales";"86000";46.58392077;0.35994765;"www.bm-poitiers.fr";"Livre";"POITIERS"
"OFNI- Osons Filmer Notre Imaginaire";"86000";46.58392077;0.35994765;"http://nyktalopmelodie.org/";"Spectacle vivant";"POITIERS"
"Dé-lire en Revermont";"77167";46.82223861;5.73292565;"non renseigne";"Livre";"POLIGNY"
"Suivez les regards";"54700";48.9219828;6.05392691;"www.ville-pont-a-mousson.fr";"Spectacle vivant";"PONT-A-MOUSSON"
"Festival Pont des arts";"25300";46.91197309;6.38914602;"www.festivalpontdesarts.com";"Spectacle vivant";"PONTARLIER"
"INVENTIO";"77160";48.56330933;3.2875678;"www.inventio-music.com";"Musique";"PROVINS"
"Sonik";"29000";47.99714252;-4.09111944;"http://www.theatre-cornouaille.fr/programme/sonik";"Musique";"QUIMPER"
"Bogue d or";"35600";47.66097343;-2.08008569;"https://www.gcbpv.org/?page_id=108";"Musique";"REDON"
"Printemps numérique";"51100";49.25149061;4.04023023;"non renseigne";"Pluridisciplinaire";"REIMS"
"Fest in Ribérac";"24600";45.24578833;0.33478285;"http://www.festin.org/";"Musique";"RIBERAC"
"Festival de théâtre amateur";"30230";43.82550394;4.43410669;"https://www.midilibre.fr/2021/12/01/un-premier-festival-de-theatre-amateur-de-qualite-9962483.php";"Spectacle vivant";"RODILHAN"
"We Loft Music";"59100";50.68797748;3.18258435;"https://caveauxpoetes.com/archives/?type=we-loft-music-festival";"Musique";"ROUBAIX"
"Festival de Sablé";"72300";47.8378265;-0.35470589;"www.festivaldesable.fr";"Musique";"SABLE-SUR-SARTHE"
"Festival de tango de Saint-Geniez-d Olt";"12300";44.47326747;2.98156818;"http://www.tangofestival-saintgeniez.fr/index.html";"Spectacle vivant";"SAINT_GENIEZ_D_OLT_ET_D_AUBRAC"
"Textes en l air";"38780";45.17223536;5.21609051;"textesenlair.net";"Spectacle vivant";"SAINT-ANTOINE-L_ABBAYE"
"Festival de musique des chapelles";"83510";43.5112335;6.29002188;"www.festivalgloriana.fr";"Musique";"SAINT-ANTONIN-DU-VAR"
"Festival du cinéma Auralpin";"69860";45.81212055;4.59925971;"http://www.le-strapontin.com/pages/festival-du-film-rhonalpin/20ans-festival-du-film-auralpin.html";"Cinéma";"SAINT-BEL"
"FeST-CONNECtions";"22530";48.1800139;-2.9259308;"non renseigne";"Musique";"SAINT-CONNEC"
"Rencontres Cinéma Cap Aux Bords";"47110";44.40587555;0.59987059;"https://www.capauxbords.com/";"Cinéma";"SAINTE-LIVRADE-SUR-LOT"
"Festival au clair de lune";"97439";16.29397793;-61.7100293;"non renseigne";"Cinéma";"SAINTE-ROSE"
"Jazz en Tech - Festival transfrontalier";"66740";42.55016907;2.92022188;"https://www.jazzentech.com/notre-festival-transfrontalier-reprend-son-itinerance/";"Musique";"SAINT-GENIS-DES-FONTAINES"
"Semaine musical du Lembron";"63340";45.45331339;3.24296692;"lembron63.blogspot.com";"Musique";"SAINT-GERMAIN-LEMBRON"
"Saison musicale les amis de Saint-Guilhem";"34150";43.75666441;3.54505481;"http://www.amisdestguilhem.fr/";"Musique";"SAINT-GUILHEM-LE-DESERT"
"Sapidays";"59270";50.7684242;2.72184822;"Page FB sapidays";"Musique";"SAINT-JANS-CAPPEL"
"Scènes de Jardin";"17800";45.94271726;-0.5198341;"www.scenes-de-jardins.fr/";"Spectacle vivant";"SAINT-JEAN-D_ANGELY"
"Festiv été de St. Jean de Folleville";"76170";49.50505675;0.49948315;"https://www.festiv-ete-normandie.fr/";"Musique";"SAINT-JEAN-DE-FOLLEVILLE"
"Festival des montagnes du Matin";"42590";45.88781813;4.12707045;"http://www.festival-des-montagnes-du-matin.com/";"Musique";"SAINT-JODARD"
"Miam miam... des livres !";"63160";45.69014078;3.31080229;"http://www.stdb-auvergne.com";"Livre";"SAINT-JULIEN-DE-COPPEL"
"Festival de L accordéon Et de La Chanson Française";"16450";45.94326466;0.49869731;"non renseigne";"Musique";"SAINT-LAURENT-DE-CERIS"
"Printemps de la Barbinière";"85290";46.9506838;-0.90112375;"https://www.chateau-barbiniere.com/";"Spectacle vivant";"SAINT-LAURENT-SUR-SEVRE"
"Forum du Livre";"68300";47.60165534;7.54061873;"https://forumlivre.fr/";"Livre";"SAINT-LOUIS"
"Quai des Bulles";"35400";48.64004435;-1.98060627;"http://www.quaidesbulles.com";"Livre";"SAINT-MALO"
"Le Chemin des Papillons";"44680";47.07985208;-1.75208948;"https://lechemindespapillons.wixsite.com/asso";"Spectacle vivant";"SAINT-MARS-DE-COUTAIS"
"Les P tits se réveillent";"17410";46.19909086;-1.3668378;"http://www.cc-iledere.fr/";"Spectacle vivant";"SAINT-MARTIN-DE-RE"
"Hip Hop Don t Stop";"38430";45.17620126;5.76476361;"https://culture.saintmartindheres.fr/agenda/hip-hop-dont-stop-festival-battle/";"Spectacle vivant";"SAINT-MARTIN-D_HERES"
"Fête du livre jeunesse de Saint-Paul-Trois-Châteaux";"26130";44.34828085;4.75744934;"https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2318";"Livre";"SAINT-PAUL-TROIS-CHATEAUX"
"Gypsy Jazz Festival";"79800";44.54145831;-0.88381951;"http://www.ville-de-salles.com";"Musique";"SALLES"
"Ceux d En Face";"91160";48.68502647;2.26634749;"http://animakt.fr/Festival-Ceux-d-en-Face";"Spectacle vivant";"SAULX-LES-CHARTREUX"
"Roots Ergue festival";"12800";44.2478234;2.31504773;"https://www.softr2rootsergue.com/roots-ergue-festival-18/";"Musique";"SAUVETERRE-DE-ROUERGUE"
"Sélest art - Biennale d art contemporain";"67600";48.24811363;7.46224896;"www.selestat.fr";"Arts visuels";"SELESTAT"
"Clap Your Hands";"75011";48.8567;2.3508;"www.cafedeladanse.com";"Musique";"PARIS"
"La voix dans tous les sens";"89100";48.1956727;3.29793333;"http://www.asso-ardev.com/";"Musique";"SENS"
"L’Autre Salon";"75003";48.86305413;2.35936106;"https://www.lautrelivre.fr/";"Livre";"PARIS"
"Festival Chants d (h)ivers... et de femmes";"34410";43.27331853;3.29725083;"https://www.lacigaliere.fr/festival-chants-dhivers-et-de-femmes/";"Spectacle vivant";"SERIGNAN"
"Pianissimo";"75001";48.86263049;2.33629345;"https://www.sunset-sunside.com/";"Musique";"PARIS"
"Festival ibero andalou de Tarbes et de Bigorre";"65000";43.23478596;0.06600939;"https://www.theatre-tarbes.fr/evenement/33eme-festival-de-la-pena-andalouse/";"Spectacle vivant";"TARBES"
"Rétro C trop";"80700";49.6416493;2.7441892;"retroctrop.fr";"Musique";"TILLOLOY"
"Festival des arts imaginaires - les Arts visionnaires";"89700";47.84110445;3.97744217;"non renseigne";"Arts visuels";"TONNERRE"
"Détours en Tournugeois";"71700";46.5651726;4.90012429;"https://legalpon.com/detours-en-tournugeois/";"Spectacle vivant";"TOURNUS"
"Festival du film d animation";"71700";46.5651726;4.90012429;"https://www.tournus.fr/cinema-la-palette";"Cinéma";"TOURNUS"
"Les impromptus";"71700";46.5651726;4.90012429;"https://lesimpromptus.fr";"Musique";"TOURNUS"
"Les Jeudis de l été";"16360";45.37408711;-0.20150384;"http://www.cdc4b.com";"Musique";"TOUVERAC"
"Faites des Etincelles";"22220";48.78504658;-3.23178777;"non renseigne";"Pluridisciplinaire";"TREGUIER"
"Détak Baro";"97426";-21.11047536;55.32975229;"https://www.facebook.com/profile.php?id=100063478181171";"Spectacle vivant";"TROIS-BASSINS"
"Festival Au Château";"19200";45.55022908;2.30449906;"http://www.havanasol.fr/";"Musique";"USSEL"
"Temps des Cerises";"30700";44.01365904;4.41600032;"https://www.ccpaysduzes.fr/actualites/item/le-temps-des-cerises-2022.html";"Pluridisciplinaire";"UZES"
"Vaison rires";"84110";44.24770187;5.06040782;"facebook.com/hdrvaison/";"Spectacle vivant";"VAISON-LA-ROMAINE"
"Bouillez! Festival au Chateau de Bouillé-Saint-Paul";"79170";47.06011001;-0.3639298;"http://www.facebook.com/FestivalBouillez/";"Spectacle vivant";"VAL_EN_VIGNES"
"JazZ à la Pointe";"97280";14.54367649;-60.85719064;"Contact.artpowwr@gmail.com";"Musique";"VAUCLIN"
"Carambolages";"84740";43.96157009;5.02837054;"carambolages.com";"Pluridisciplinaire";"VELLERON"
"Sorru in musica";"20160";42.15063907;8.73051107;"https://www.sorru-in-musica.corsica";"Musique";"VICO"
"Musique aux Mirabelles";"55210";48.98577915;5.72405153;"https://musiqueauxmirabelles.fr/";"Musique";"VIGNEULLES-LES-HATTONCHATEL"
"Ciné O clock";"69100";45.77077042;4.88845817;"www.cineoclock.com/";"Cinéma";"VILLEURBANNE"
"Les nocturnes du château";"83170";43.43301288;6.15001837;"http://chateaudevins.fr/";"Livre";"VINS-SUR-CARAMY"
"Festival de l Imaginaire";"79370";48.11408151;-1.19370721;"non renseigne";"Musique";"VITRE"
"Thea  Vourles";"69390";45.6578547;4.76815797;"https://fncta-auvergne-rhone-alpes.fr/";"Spectacle vivant";"VOURLES"
"Festival d Agen";"47000";44.20281391;0.62558393;"http://www.theatredujour.com/";"Spectacle vivant";"AGEN"
"Printemps du livre";"80690";50.08136613;1.99604068;"www.ponthieu-marquenterre.fr";"Livre";"AILLY-LE-HAUT-CLOCHER"
"Festival du film italien d Ajaccio";"20000";41.93479266;8.70132276;"https://www.iffa.corsica/";"Cinéma";"AJACCIO"
"Salon du livre et du jeu";"80300";50.00408293;2.64831383;"www.salondulivrealbert.fr";"Livre";"ALBERT"
"Ancenis BD";"44521";47.38332702;-1.18241881;"https://www.ancenisbd.com/";"Livre";"ANCENIS-SAINT-GEREON"
"Le bruit de la neige";"74000";45.89064326;6.12551774;"http://bruitdelaneige.org/accueil.html";"Musique";"ANNECY"
"Variations classiques";"74000";45.89064326;6.12551774;"https://www.variations-classiques.com/";"Musique";"ANNECY"
"Festival des voisins";"31160";42.99255951;0.90562855;"https://festivaldesvoisins.wordpress.com";"Pluridisciplinaire";"ARBAS"
"Ciné Junior";"94110";48.80588036;2.33351025;"https://cinejunior.fr/";"Cinéma";"ARCUEIL"
"Les escales du cargo";"13200";43.54686924;4.66215643;"www.escales-cargo.com";"Musique";"ARLES"
"Arras Comedy";"62000";50.2898965;2.76587317;"https://www.arras.fr/";"Spectacle vivant";"ARRAS"
"Soirées Littéraires du Bessin";"14960";49.33365192;-0.58463297;"www.litteratureavoixhaute.com";"Spectacle vivant";"ASNELLES"
"Comme ça vous chante";"17400";45.89347441;-0.51048987;"http://commecavouschante.weebly.com/";"Musique";"ASNIERES-LA-GIRAUD"
"Festival de Royaumont";"95270";49.14073386;2.38005973;"https://www.royaumont.com/";"Musique";"ASNIERES-SUR-OISE"
"Festival Guitar Essonnes";"91200";48.70924458;2.38660492;"https://guitare-essonne.wixsite.com/";"Musique";"ATHIS-MONS"
"Chambre 07";"07200";44.61021271;4.39638981;"https://chambre07.com/";"Arts visuels";"AUBENAS"
"Les marionnettes font le printemps";"04200";44.20019251;5.93083716;"www.sisteron.com";"Spectacle vivant";"SISTERON"
"Auber Graffitti Show";"93300";48.91217226;2.38445514;"/";"Arts visuels";"AUBERVILLIERS"
"Festival de l Imaginaire";"93300";48.91217226;2.38445514;"https://www.maisondesculturesdumonde.org/";"Musique";"AUBERVILLIERS"
"Méliscènes";"56400";47.66770574;-2.99041112;"www.auray.fr";"Spectacle vivant";"AURAY"
"Tradi Deiz";"56400";47.66770574;-2.99041112;"non renseigne";"Spectacle vivant";"AURAY"
"Festival BD du bassin d Aurillac";"15000";44.92452337;2.44162454;"https://festivalbd.caba.fr/fr/";"Livre";"AURILLAC"
"Festival 3 étoiles";"89200";47.48247899;3.91585954;"http://cineclubfrancoistruffaut.fr";"Cinéma";"AVALLON"
"Green fest";"84000";43.93524483;4.84071573;"https://www.inooveproduction.fr";"Musique";"AVIGNON"
"Viva villa";"84000";43.93524483;4.84071573;"www.vivavilla.info";"Musique";"AVIGNON"
"Printemps des orgues";"85440";47.50571063;-0.60078894;"http://printempsdesorgues.fr/";"Musique";"AVRILLE"
"Festival du Schmoul";"35470";47.83029482;-1.67649507;"www.schmoulbrouk.com";"Musique";"BAIN-DE-BRETAGNE"
"Lax n Blues";"12160";44.2810939;2.44964862;"https://www.aveyron-culture.com/diffusio/contact/baraqueville/lax-n-blues_TFO118713.php";"Musique";"BARAQUEVILLE"
"Dantza Hirian";"64100";43.4922254;-1.46607674;"http://www.dantzahirian.com/";"Spectacle vivant";"BAYONNE"
"Festimontois";"37420";47.19394767;0.18624301;"www.adfbeaumont.com";"Spectacle vivant";"BEAUMONT-EN-VERON"
"Bandafolie s";"87250";46.1088644;1.36011936;"http://www.bandafolies.com/festival";"Musique";"BESSINES-SUR-GARTEMPE"
"Les Jeudis des Jardins de L océan";"64200";43.46958472;-1.55309858;"http://www.biarritz-evenement.fr/";"Spectacle vivant";"BIARRITZ"
"Mars Ça Tape";"64140";43.30452599;-0.39349258;"http://www.ampli.asso.fr";"Musique";"BILLERE"
"Enfantillages";"06560";43.62828833;7.02954477;"www.ville-valbonne.fr";"Spectacle vivant";"VALBONNE"
"Des Lyres d Eté";"41000";47.58170139;1.30625552;"https://www.blois.fr/";"Pluridisciplinaire";"BLOIS"
"Les Hivernales du Jazz";"56000";47.65974938;-2.75714329;"https://www.leshivernalesdujazz.com/";"Musique";"VANNES_AGGLOMERATION"
"En plein soleil";"84480";43.82709307;5.31457907;"https://festivalenpleinsoleil.fr/";"Livre";"BONNIEUX"
"Horizons décalés";"13670";43.83865516;4.91889951;"www.handivers-horizons.fr";"Pluridisciplinaire";"VERQUIERES"
"Classic parc orchestra";"06270";43.64925607;7.10728435;"www.villeneuveloubet.fr";"Musique";"VILLENEUVE-LOUBET"
"Afropunk Festival";"92100";48.83658431;2.23913599;"https://afropunk.com/festival/paris/line-up/";"Musique";"BOULOGNE-BILLANCOURT"
"Festival de la cité scolaire Genevoix Signoret Facs";"79300";46.85457557;-0.47937592;"http://www.genevoix-signoret-vinci.fr/";"Spectacle vivant";"BRESSUIRE"
"Jazz à Brignoles";"83170";43.39929419;6.07740244;"https://www.la-provence-verte.net/actualites/festivite-festival-jazz-abrignoles_5289762.html";"Musique";"BRIGNOLES"
"Loir en zic";"43700";45.04632671;3.92401115;"non renseigne";"Musique";"BRIVES-CHARENSAC"
"Caravane du livre d yzeure";"03400";46.56364562;3.3797816;"https://pre-textes.fr/caravane/";"Livre";"YZEURE"
"Festival des châteaux de Bruniquel";"82800";44.05219803;1.6600972;"https://www.bruniqueloff.com/";"Spectacle vivant";"BRUNIQUEL"
"Festival Altérités";"14000";49.18479367;-0.36980171;"http://www.festivalalterites.com/";"Cinéma";"CAEN"
"American Journeys";"59400";50.1702776;3.24221021;"http://american-journeys.com/";"Musique";"CAMBRAI"
"Fictions documentaires";"11000";43.20937984;2.34398855;"https://contemporaneitesdelart.fr/festival-fictions-documentaires-2021-5eme-edition-carcassonne/";"Cinéma";"CARCASSONNE"
"Kolorz festival d été";"84200";44.05938026;5.06134845;"kolorzfestival.com";"Musique";"CARPENTRAS"
"Bonporteau festival";"83240";43.18190558;6.52121721;"www.cavalairesurmer.fr";"Musique";"CAVALAIRE"
"Les rendez-vous de l été";"83240";43.18190558;6.52121721;"www.cavalairesurmer.fr";"Spectacle vivant";"CAVALAIRE-SUR-MER"
"Semaines poétiques celloises";"79370";46.24053693;-0.21818106;"foyer-rural-verrines.fr";"Livre";"CELLES-SUR-BELLE"
"Les Rencontres Cinématographiques internationales de Cerbère-Portbou";"66290";42.44390766;3.14835501;"www.rencontrescerbere.org";"Cinéma";"CERBERE"
"Automne musical en Vallespir";"66400";42.47396221;2.75268021;"www.amuvall.org";"Musique";"CERET"
"War On Screen";"51000";48.96408921;4.3788354;"https://waronscreen.com/fr";"Cinéma";"CHALONS-EN-CHAMPAGNE"
"Festival d accordéon";"19370";45.60250125;1.7195108;"http://chamberet-festival-accordeon.net/";"Musique";"CHAMBERET"
"C mouvoir";"15270";45.40401077;2.60404166;"www.festivalcmouvoir.com";"Pluridisciplinaire";"CHAMPS-SUR-TARENTAINE-MARCHAL"
"Luciol In The Sky";"71850";46.30418527;4.78693813;"www.cavazik.org";"Musique";"CHARNAY-LES-MACON"
"Lire en Valdaine";"26450";44.5895895;4.95411;"https://mairie.charols.fr/evenement/salon-du-livre-lire-en-valdaine-2/";"Livre";"CHAROLS"
"Carrefour européen du 9e art et de l image";"07200";44.61021271;4.39638981;"https://www.ville-aubenas.fr/agenda/carrefour-europeen-du-9eme-art-et-de-limage";"Cinéma";"AUBENAS"
"Carré d As (jeunes talents)";"28000";48.44714649;1.50570611;"http://elixir.hautetfort.com/festival_carre_d_as/ // samedismusicaux.fr";"Musique";"CHARTRES"
"Festival BD au Pays de Château-Gontier";"53100";47.82900671;-0.73872177;"bdaupaysde chateaugontier.com";"Livre";"CHATEAU-GONTIER-SUR-MAYENNE"
"L Effet Mode";"22800";48.53036569;-2.98952866;"www.petit-echo-mode.fr";"Pluridisciplinaire";"CHATELAUDREN-PLOUAGAT"
"Risk Festival";"21300";47.29261367;5.00488353;"http://www.riskparty.com";"Musique";"CHENOVE"
"Festival du livre de jeunesse et de Bande dessinée de Cherbourg en Cotentin";"50240";49.63341216;-1.6339016;"www.festivaldulivre.com";"Livre";"CHERBOURG-EN-COTENTIN"
"Les Mercurielles";"50620";49.63341216;-1.6339016;"https://www.cherbourg.fr/";"Livre";"CHERBOURG-EN-COTENTIN"
"Lirenval";"78460";48.70715014;2.03714431;"www.lirenval.com";"Livre";"CHEVREUSE"
"Les Grandes Heures";"71250";46.43036286;4.67033276;"Accueil | Grandes heures de cluny";"Musique";"CLUNY"
"Natala";"68000";48.10994058;7.3846869;"www.hiero.fr";"Musique";"COLMAR"
"Temps Fort Marionnettes";"68000";48.10994058;7.3846869;"www.lezard.org";"Spectacle vivant";"COLMAR"
"Art Trans  Fabrik";"34980";43.6724651;3.77949433;"https://arts-fabrik.fr/";"Spectacle vivant";"COMBAILLAUX"
"Festi Valcéou";"46310";44.66729511;1.39090016;"www.festivalceou.com";"Musique";"CONCORES"
"Vendanges graphiques";"69420";45.47430838;4.75671075;"https://www.facebook.com/events/235212447433611/?acontext=%7B%22event_action_history%22%3A%7B%22surface%22%3A%22page%22%7D%7D";"Livre";"CONDRIEU"
"Palabrages";"30111";43.7752564;4.15881236;"http://palabrages.fr/";"Livre";"CONGENIES"
"The Green Escape";"43500";45.33185495;3.85314005;"http://www.festivaldecraponne.com/";"Musique";"CRAPONNE-SUR-ARZON"
"Jazz sous les Halles";"57150";49.20911159;6.68082894;"non renseigne";"Musique";"CREUTZWALD"
"Biennale populaire d arts visuels";"81470";43.56237928;1.88686469;"https://www.champsvisuels.eu/champs-visuels-biennale-populaire-d-arts-visuels_24.html";"Arts visuels";"CUQ-TOULZA"
"Jours de fête à Fontaine d Ouche";"21000";47.3229438;5.03788806;"https://www.facebook.com/joursdefeteafontainedouche/";"Pluridisciplinaire";"DIJON"
"La fontaine du rire";"21000";47.3229438;5.03788806;"http://www.la-tete-de-mule.fr/";"Spectacle vivant";"DIJON"
"Le Printemps de l Europe";"21000";47.3229438;5.03788806;"https://printempsdeleurope.com/";"Pluridisciplinaire";"DIJON"
"Premiers Emois";"22100";48.455771;-2.0481615;"http://www.theatre-en-rance.com/";"Spectacle vivant";"DINAN"
"La Grande Hâte";"89500";48.07760996;3.4236589;"www.lagrandehate.com";"Spectacle vivant";"DIXMONT"
"Théâtrales d entraigues-sur-la-sorgue";"84320";43.99501734;4.93295387;"https://attoreactoracteur.wixsite.com/attore-actor-acteur";"Spectacle vivant";"ENTRAIGUES-SUR-LA-SORGUE"
"Théâtre Bazine Festival";"89290";47.72259098;3.6024919;"https://la-bazine-04.webself.net/le-festival";"Spectacle vivant";"ESCOLIVES-SAINTE-CAMILLE"
"Le fabuleux village";"74500";46.39241024;6.58612508;"http://www.lefabuleuxvillage.fr/";"Arts visuels";"EVIAN-LES-BAINS"
"Festival international du film d éducation";"27000";49.02015421;1.14164412;"https://festivalfilmeduc.net/";"Cinéma";"EVREUX"
"Les médiévales de Ferrières";"45210";48.10553609;2.8042686;"https://www.afhf.fr/";"Pluridisciplinaire";"FERRIERES-EN-GATINAIS"
"L’ile en été";"72210";47.90237893;0.11522804;"non renseigne";"Spectacle vivant";"FILLE"
"L’Enfant et le 7ème art";"77300";48.40668565;2.68031396;"non renseigne";"Cinéma";"FONTAINEBLEAU"
"Kolorz festival d hiver";"84200";44.05938026;5.06134845;"kolorzfestival.com";"Musique";"CARPENTRAS"
"Les Riches Heures de Fougères";"35300";48.35246971;-1.19431177;"non renseigne";"Spectacle vivant";"FOUGERES"
"Jacques a dit !";"06510";43.78503906;7.1841416;"www.forumcarros.com";"Spectacle vivant";"CARROS"
"Densités";"55160";49.10097297;5.633556;"https://vudunoeuf.com/";"Musique";"FRESNES-EN-WOEVRE"
"Bleu Outremer";"97190";16.2252192;-61.46987767;"https://festivalbleuoutremer.com/";"Pluridisciplinaire";"GOSIER"
"Dansons";"33170";44.77094112;-0.61613768;"www.t4saisons.com";"Spectacle vivant";"GRADIGNAN"
"Festival du 2e roman";"26230";44.43691758;4.90180143;"https://colophon-grignan.fr/index.php/2e-roman-2021/";"Livre";"GRIGNAN"
"Soirées musicales de Grimaud";"83310";43.28202825;6.53303224;"www.grimaud-provence.com";"Musique";"GRIMAUD"
"Fortress Festival";"29820";48.41893287;-4.56200696;"non renseigne";"Musique";"GUILERS"
"Ker-Zion";"29880";48.61691013;-4.41110954;"non renseigne";"Spectacle vivant";"GUISSENY"
"Les Musicales du Parc";"68470";47.87995804;6.98624723;"https://www.les-musicales.com";"Musique";"HUSSEREN-WESSERLING"
"Festival international de musique d Hyères";"83400";43.10187135;6.18898508;"www.festivalhyeres.org";"Musique";"HYERES"
"Aix-Libris";"17123";46.01833368;-1.16962492;"www.aixlibris.fr";"Livre";"ILE-D_AIX"
"Salon du livre jeunesse";"87170";45.80358709;1.19524326;"https://www.ville-isle.fr/";"Livre";"ISLE"
"Des Fées en Bulles";"35150";47.94289508;-1.50038718;"non renseigne";"Pluridisciplinaire";"JANZE"
"Les Clans du rire";"86220";46.693592;0.35661475;"http://www.jaunay-marigny.fr";"Spectacle vivant";"JAUNAY-MARIGNY"
"Salon du livre et de la photographie";"05230";44.57975663;6.21267984;"lhymnedespoetes.wix.com/association";"Arts visuels";"LA_BATIE-NEUVE"
"Jazz sous les pommiers";"50200";49.05661895;-1.44345004;"https://www.jazzsouslespommiers.com/";"Musique";"COUTANCES"
"Scènes Buissonnières";"33650";44.68011304;-0.5369185;"http://www.scenesbuissonnieres.com";"Spectacle vivant";"LA_BREDE"
"Festival du Bout du Monde";"29160";48.24497154;-4.49170348;"www.festivalduboutdumonde.com";"Musique";"CROZON"
"Mm Festival";"17000";46.1620644;-1.17465703;"https://mmfestival.fr/";"Musique";"LA_ROCHELLE"
"Enfantaisies";"85000";46.66752616;-1.40779541;"http://enfantaisies.free.fr/";"Pluridisciplinaire";"LA_ROCHE-SUR-YON"
"Les nuits du château - festival de danse de La Tour d Aigues";"84240";43.72148352;5.56734664;"lesnuitsduchateau.com";"Spectacle vivant";"LA_TOUR-D_AIGUES"
"Ciné Pause";"71870";46.46069787;4.60125622;"http://cinepause.org/index.php?p=0";"Cinéma";"LA_VINEUSE-SUR-FREGANDE"
"Artezic";"87500";45.58830756;1.10742594;"http://www.facebook.com/ladignacsportdetente/";"Musique";"LADIGNAC-LE-LONG"
"Caph ARTS Naüm";"52700";48.30533808;5.49239986;"www;caphartsnaum.com";"Musique";"LAFAUCHE"
"Jazz à la Lunette";"52200";47.85915448;5.33880467;"non renseigne";"Musique";"LANGRES"
"Les Tardives";"22300";48.74334967;-3.461598;"https://www.lannion.bzh";"Musique";"LANNION"
"Festival Bernard Dimey";"52800";48.03752143;5.36502804;"www.festival-bernard-dimey.fr";"Musique";"NOGENT"
"Cinédélices";"46000";44.45073709;1.44075838;"https://www.cinedelices.fr/fr";"Cinéma";"CAHORS"
"Les Estivales de Camplong";"11160";43.13361136;2.6537934;"http://www.camplong.com/estivales/";"Spectacle vivant";"CAMPLONG-D_AUDE"
"Festival Nova Ona";"66140";42.6841288;3.01161745;"https://www.facebook.com/events/1367959946625347";"Spectacle vivant";"CANET-EN-ROUSSILLON"
"Scènes émergentes";"06510";43.78503906;7.1841416;"www.ville-carros.fr";"Musique";"CARROS"
